Day,Time,Intensity
2014/06/18,17:20:22.336,1601.99002
2014/06/18,17:20:22.446,1460.78855
2014/06/18,17:20:22.556,1329.90204
2014/06/18,17:20:22.666,1667.61134
2014/06/18,17:20:22.776,1346.68503
2014/06/18,17:20:22.886,1337.12744
2014/06/18,17:20:22.996,1301.10952
2014/06/18,17:20:23.106,1549.59388
2014/06/18,17:20:23.206,1541.26576
2014/06/18,17:20:23.316,1637.87982
2014/06/18,17:20:23.426,1505.11088
2014/06/18,17:20:23.536,1519.11859
2014/06/18,17:20:23.646,1466.11497
2014/06/18,17:20:23.756,1393.27596
2014/06/18,17:20:23.866,1408.76281
2014/06/18,17:20:23.976,1628.32336
2014/06/18,17:20:24.086,1650.90227
2014/06/18,17:20:24.196,1395.05351
2014/06/18,17:20:24.306,1396.41791
2014/06/18,17:20:24.416,1560.66304
2014/06/18,17:20:24.516,1452.26893
2014/06/18,17:20:24.626,1278.28844
2014/06/18,17:20:24.736,1414.9059
2014/06/18,17:20:24.846,1511.42336
2014/06/18,17:20:24.956,1627.99274
2014/06/18,17:20:25.066,1532.94558
2014/06/18,17:20:25.176,2541.37506
2014/06/18,17:20:25.286,2090.71633
2014/06/18,17:20:25.396,1900.37619
2014/06/18,17:20:25.506,1738.46871
2014/06/18,17:20:25.616,1420.43583
2014/06/18,17:20:25.726,1316.4102
2014/06/18,17:20:25.836,1367.1059
2014/06/18,17:20:25.936,1388.87347
2014/06/18,17:20:26.046,1517.77132
2014/06/18,17:20:26.156,1499.09274
2014/06/18,17:20:26.266,1431.34263
2014/06/18,17:20:26.376,1582.75102
2014/06/18,17:20:26.486,1435.38413
2014/06/18,17:20:26.596,1415.7483
2014/06/18,17:20:26.706,1372.84399
2014/06/18,17:20:26.816,1504.72222
2014/06/18,17:20:26.926,1365.37234
2014/06/18,17:20:27.036,1525.88163
